,student,currProb,course,session,priorTutorAction,reward,Interaction,hintCount,TotalTime,TotalPSTime,TotalWETime,avgstepTime,avgstepTimePS,stepTimeDeviation,symbolicRepresentationCount,englishSymbolicSwitchCount,Level,probDiff,difficultProblemCountSolved,difficultProblemCountWE,easyProblemCountSolved,easyProblemCountWE,probAlternate,easyProbAlternate,RuleTypesCount,UseCount,PrepCount,MorphCount,OptionalCount,NewLevel,SolvedPSInLevel,SeenWEinLevel,probIndexinLevel,probIndexPSinLevel,InterfaceErrorCount,RightApp,WrongApp,WrongSemanticsApp,WrongSyntaxApp,PrightAppRatio,RrightAppRatio,F1Score,FDActionCount,BDActionCount,DirectProofActionCount,InDirectProofActionCount,actionCount,UseWindowInfo,NonPSelements,AppCount,AppRatio,hintRatio,BlankRatio,HoverHintCount,SystemInfoHintCount,NextStepClickCountWE,PreviousStepClickCountWE,deletedApp,ruleScoreMP,ruleScoreDS,ruleScoreSIMP,ruleScoreMT,ruleScoreADD,ruleScoreCONJ,ruleScoreHS,ruleScoreCD,ruleScoreDN,ruleScoreDEM,ruleScoreIMPL,ruleScoreCONTRA,ruleScoreEQUIV,ruleScoreCOM,ruleScoreASSOC,ruleScoreDIST,ruleScoreABS,ruleScoreEXP,ruleScoreTAUT,cumul_Interaction,cumul_hintCount,cumul_TotalTime,cumul_TotalPSTime,cumul_TotalWETime,cumul_avgstepTime,cumul_avgstepTimeWE,cumul_avgstepTimePS,cumul_symbolicRepresentationCount,cumul_englishSymbolicSwitchCount,cumul_difficultProblemCountSolved,cumul_difficultProblemCountWE,cumul_easyProblemCountSolved,cumul_easyProblemCountWE,cumul_probAlternate,cumul_easyProbAlternate,cumul_RuleTypesCount,cumul_UseCount,cumul_PrepCount,cumul_MorphCount,cumul_OptionalCount,cumul_probIndexinLevel,cumul_InterfaceErrorCount,cumul_RightApp,cumul_WrongApp,cumul_WrongSemanticsApp,cumul_WrongSyntaxApp,cumul_PrightAppRatio,cumul_RrightAppRatio,cumul_F1Score,cumul_FDActionCount,cumul_BDActionCount,cumul_DirectProofActionCount,cumul_InDirectProofActionCount,cumul_actionCount,cumul_UseWindowInfo,cumul_NonPSelements,cumul_AppCount,cumul_AppRatio,cumul_hintRatio,cumul_BlankRatio,cumul_HoverHintCount,cumul_SystemInfoHintCount,cumul_NextStepClickCountWE,cumul_PreviousStepClickCountWE,cumul_deletedApp,CurrPro_NumProbRule,CurrPro_avgProbTime,CurrPro_avgProbTimePS,CurrPro_avgProbTimeDeviationPS,CurrPro_avgProbTimeWE,CurrPro_avgProbTimeDeviationWE,CurrPro_medianProbTime
22,0008-F14,1.0.4.0,226-001-BARNES-F14,1,PS,40.7894736842,0,0,0,0,0,1,1,1,4,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,4,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,6,0,3,0,0,3,0,0,3,3,3,3,0,0,2
23,0008-F14,2.1.1.0,226-001-BARNES-F14,1,PS,0.0,0,0,0,0,0,0,0,1,4,0,1,9,9,0,0,0,0,0,4,0,0,0,0,9,9,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,5,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,4,4,5,6,6,2
24,0008-F14,2.1.2.0,226-001-BARNES-F14,1,WE,0.0,0,0,0,0,0,0,0,1,4,0,1,9,0,9,0,0,0,0,0,0,0,0,0,0,0,9,2,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,9,0,0,2,0,0,4,2,7,2,3,2,2,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,3,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,7,0,2,0,0,1,0,0,3,2,2,4,7,5,1
25,0008-F14,2.1.3.0,226-001-BARNES-F14,1,PS,26.9416187528,0,0,0,0,0,0,0,2,4,0,1,9,9,0,0,0,0,0,4,0,0,0,0,0,0,0,4,2,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,5,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,6,3,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,8,0,1,0,0,1,0,0,3,2,2,2,0,0,2
26,0008-F14,3.1.1.0,226-001-BARNES-F14,1,PS,0.0,0,0,0,0,0,0,0,2,4,0,3,9,9,0,0,0,0,0,4,0,0,0,0,9,9,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,1,9,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,7,6,8,5,5,2
27,0008-F14,3.1.2.0,226-001-BARNES-F14,1,WE,0.0,0,0,0,0,1,1,0,2,4,0,3,9,0,9,0,0,0,0,0,0,0,0,0,0,0,9,2,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,4,2,7,2,3,2,2,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,3,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,6,0,3,0,0,3,0,0,6,2,2,4,8,7,1
28,0008-F14,3.1.3.0,226-001-BARNES-F14,1,PS,22.7543444562,0,0,0,0,0,0,0,2,4,0,3,9,9,0,0,0,0,0,4,0,0,0,0,0,0,0,4,2,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,2,9,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,6,3,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,8,0,1,0,0,3,0,0,6,4,4,3,0,0,3
29,0008-F14,4.1.1.0,226-001-BARNES-F14,1,PS,0.0,0,0,0,0,0,0,0,1,4,0,5,9,9,0,0,0,0,0,4,0,0,0,0,9,9,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,5,9,7,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,2,1,1,6,7,1
30,0008-F14,4.1.2.0,226-001-BARNES-F14,1,WE,0.0,0,0,0,0,0,0,0,1,4,0,5,9,0,9,0,0,0,0,0,0,0,0,0,0,0,9,2,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,9,0,0,2,0,0,4,2,7,2,3,2,2,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,3,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,6,0,3,0,0,2,0,0,4,3,2,4,6,6,1
31,0008-F14,4.1.3.0,226-001-BARNES-F14,1,PS,9.5145631068,0,0,0,0,0,1,1,2,4,0,5,9,9,0,0,0,0,0,4,0,0,0,0,0,0,0,4,2,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,5,9,7,7,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,6,3,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,8,0,1,0,0,2,0,0,4,9,9,5,0,0,9
32,0008-F14,5.1.1.0,226-001-BARNES-F14,1,PS,0.0,0,0,0,0,0,0,0,2,4,0,7,9,9,0,0,0,0,0,4,0,0,0,0,9,9,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,7,9,7,7,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,4,1,1,1,3,3,1
33,0008-F14,5.1.2.0,226-001-BARNES-F14,1,WE,0.0,0,0,0,0,0,0,0,2,4,0,7,9,0,9,0,0,0,0,0,0,0,0,0,0,0,9,2,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,4,2,7,2,3,2,2,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,3,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,5,0,4,0,0,3,0,0,6,0,0,1,5,4,0
34,0008-F14,5.1.3.0,226-001-BARNES-F14,1,PS,0.0,0,0,0,0,0,1,1,2,4,0,7,9,9,0,0,0,0,0,7,0,0,0,0,0,0,0,4,2,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,7,9,7,3,7,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,6,3,0,0,0,0,7,0,0,0,0,4,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,7,0,2,0,0,3,0,0,4,7,7,7,0,0,7
